2012-07-03 14:36:16,568  0.64 Click(127,621)
2012-07-03 14:38:19,187  123.26 Flick from(82,636)to(97,261)
2012-07-03 14:38:19,717  123.79 Flick from(82,636)to(97,261)
2012-07-03 14:38:20,247  124.32 Flick from(82,636)to(97,261)
2012-07-03 14:38:20,786  124.86 Flick from(82,636)to(97,261)
2012-07-03 14:38:21,316  125.39 Flick from(82,636)to(97,261)
2012-07-03 14:38:21,848  125.92 Flick from(82,636)to(97,261)
2012-07-03 14:38:22,392  126.46 Flick from(82,636)to(97,261)
2012-07-03 14:38:22,923  126.99 Flick from(82,636)to(97,261)
2012-07-03 14:38:23,456  127.53 Flick from(82,636)to(97,261)
2012-07-03 14:38:23,986  128.06 Flick from(82,636)to(97,261)
2012-07-03 14:38:24,516  128.59 Flick from(82,636)to(97,261)
2012-07-03 14:38:25,046  129.12 Flick from(82,636)to(97,261)
2012-07-03 14:38:25,576  129.65 Flick from(82,636)to(97,261)
2012-07-03 14:38:26,107  130.18 Flick from(82,636)to(97,261)
2012-07-03 14:38:26,638  130.71 Flick from(82,636)to(97,261)
2012-07-03 14:38:27,170  131.24 Flick from(82,636)to(97,261)
2012-07-03 14:38:27,700  131.77 Flick from(82,636)to(97,261)
2012-07-03 14:38:28,230  132.30 Flick from(82,636)to(97,261)
2012-07-03 14:38:28,760  132.83 Flick from(82,636)to(97,261)
2012-07-03 14:38:29,290  133.36 Flick from(82,636)to(97,261)
2012-07-03 14:38:29,821  133.89 Flick from(82,636)to(97,261)
2012-07-03 14:38:30,351  134.42 Flick from(82,636)to(97,261)
2012-07-03 14:38:30,881  134.95 Flick from(82,636)to(97,261)
2012-07-03 14:38:31,411  135.48 Flick from(82,636)to(97,261)
2012-07-03 14:38:31,941  136.01 Flick from(82,636)to(97,261)
2012-07-03 14:38:32,471  136.54 Flick from(82,636)to(97,261)
2012-07-03 14:38:33,002  137.07 Flick from(82,636)to(97,261)
2012-07-03 14:38:33,532  137.60 Flick from(82,636)to(97,261)
2012-07-03 14:38:34,062  138.13 Flick from(82,636)to(97,261)
2012-07-03 14:38:34,592  138.66 Flick from(82,636)to(97,261)
2012-07-03 14:38:35,122  139.19 Flick from(82,636)to(97,261)
2012-07-03 14:38:35,653  139.72 Flick from(82,636)to(97,261)
2012-07-03 14:38:36,183  140.25 Flick from(82,636)to(97,261)
2012-07-03 14:38:36,713  140.78 Flick from(82,636)to(97,261)
2012-07-03 14:38:37,243  141.31 Flick from(82,636)to(97,261)
2012-07-03 14:38:37,773  141.84 Flick from(82,636)to(97,261)
2012-07-03 14:38:38,303  142.37 Flick from(82,636)to(97,261)
2012-07-03 14:38:38,834  142.90 Flick from(82,636)to(97,261)
